date,cultivar,rep,n_stolon_primary,n_stolon_secondary,n_stolon_tertiary,n_stolon_quaternary,n_dp_alt_primary,n_dp_alt_secondary,n_dp_alt_tertiary,n_dp_alt_quaternary,n_dp_mid_primary,n_dp_mid_secondary,n_dp_mid_tertiary,n_dp_mid_quaternary,n_dp_total_alt,n_dp_total_mid,n_flowers_total,n_flowers_mp,n_flowers_dp,stolon_length_primary_cm,crown_diameter_mm
2025-04-23,Portola,1,3.0,2.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,4.0,0.0,95.666666667,
2025-04-23,Portola,2,5.0,3.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,70.825,
2025-04-23,Portola,3,3.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,94.65,
2025-05-07,Portola,1,3.0,6.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,7.0,7.0,0.0,145.3333333,
2025-05-07,Portola,2,6.0,11.0,0.0,0.0,13.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,123.02,
2025-05-07,Portola,3,5.0,7.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,6.0,6.0,0.0,115.825,
2025-05-21,Portola,1,5.0,11.0,1.0,0.0,13.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,15.0,15.0,0.0,177.0,
2025-05-21,Portola,2,10.0,22.0,6.0,0.0,21.0,39.0,6.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,6.0,6.0,0.0,158.25,
2025-05-21,Portola,3,7.0,17.0,3.0,0.0,15.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,5.0,5.0,0.0,155.18,
2025-06-04,Portola,1,7.0,15.0,3.0,0.0,15.0,30.0,3.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,182.4666667,
